n;Lista wiązana;Tablica dynamiczna
49457;131961;40
49456;132301;30
49455;136038;361
49454;131901;30
49453;132141;40
49452;132200;41
49451;133083;20
49450;131961;40
49449;132281;20
49448;136028;30
49447;132271;30
49446;132081;30
49445;132261;41
49444;132261;30
49443;132251;40
49442;132261;30
49441;132231;30
49440;136078;40
49439;132071;160
49438;132180;31
49437;132061;30
49436;132141;20
49435;131980;40
49434;132090;20
49433;135948;40
49432;132241;20
49431;132101;40
49430;132271;20
49429;132131;40
49428;132121;30
49427;132151;30
49426;132181;40
49425;135357;30
49424;132181;30
49423;132211;501
49422;132291;30
49421;131971;30
49420;132061;20
49419;132191;30
49418;159362;30
49417;132592;30
49416;132191;30
49415;132281;30
49414;132150;31
49413;132211;30
49412;132021;30
49411;132160;30
49410;135948;30
49409;132030;30
49408;132241;30
49407;131941;230
49406;131780;20
49405;132031;30
49404;132120;30
49403;135988;30
49402;131850;30
49401;132141;40
49400;132151;30
49399;132562;30
49398;131841;20
49397;132111;30
49396;132021;30
49395;135877;31
49394;132161;30
49393;131920;30
49392;132051;30
49391;131730;230
49390;131890;20
49389;132121;30
49388;135848;20
49387;131660;30
49386;132100;30
49385;131800;20
49384;132471;30
49383;133233;30
49382;132121;30
49381;132091;30
49380;136228;30
49379;132090;30
49378;132111;30
49377;131820;20
49376;132111;30
49375;132171;231
49374;131860;20
49373;138282;30
49372;132311;20
49371;132421;50
49370;132862;30
49369;132140;30
49368;132131;30
49367;132131;40
49366;132191;30
49365;135627;30
49364;132131;40
49363;131901;30
49362;132100;30
49361;131940;40
49360;132211;30
49359;132021;30
49358;135867;20
49357;131780;30
49356;131940;30
49355;131990;30
49354;132161;40
49353;132011;30
49352;131750;30
49351;131900;30
49350;135697;30
49349;131770;30
49348;132080;30
49347;131980;30
49346;131730;30
49345;131910;30
49344;132061;40
49343;135697;40
49342;132141;30
49341;131730;30
49340;132030;30
49339;131840;30
49338;132011;30
49337;131960;30
49336;131971;30
49335;135828;40
49334;131940;20
49333;132070;30
49332;132071;30
49331;132051;30
49330;132050;30
49329;131810;30
49328;135988;30
49327;135417;160
49326;132682;30
49325;131971;20
49324;131981;30
49323;131891;20
49322;131740;20
49321;131871;30
49320;136149;30
49319;131710;30
49318;131961;30
49317;131950;30
49316;132001;40
49315;131941;30
49314;131971;40
49313;135187;30
49312;131871;30
49311;131981;30
49310;131981;30
49309;131901;30
49308;131620;20
49307;131870;30
49306;131490;30
49305;134986;30
49304;131931;20
49303;131941;20
49302;131911;30
49301;131930;30
49300;131910;40
49299;131920;30
49298;135517;30
49297;131930;30
49296;131860;40
49295;131830;30
49294;131891;30
49293;131790;40
49292;131860;30
49291;131890;30
49290;135156;30
49289;131900;30
49288;131860;30
49287;131810;30
49286;131730;30
49285;131840;30
49284;131780;31
49283;131860;40
49282;135587;40
49281;131860;40
49280;131840;30
49279;131730;161
49278;131730;30
49277;131800;40
49276;131750;30
49275;135547;31
49274;132451;30
49273;131750;30
49272;131810;30
49271;131821;30
49270;131760;30
49269;131700;30
49268;131720;30
49267;135317;30
49266;131790;21
49265;131680;40
49264;131490;20
49263;131609;30
49262;131750;30
49261;131500;30
49260;135547;30
49259;131550;40
49258;131730;20
49257;131580;30
49256;131760;20
49255;131570;30
49254;131710;30
49253;131699;30
49252;135477;30
49251;131760;30
49250;131700;30
49249;131740;30
49248;131700;20
49247;131630;30
49246;131389;30
49245;136709;20
49244;131630;30
49243;131750;40
49242;131750;30
49241;131649;30
49240;131389;30
49239;131760;30
49238;131740;30
49237;135457;40
49236;131690;20
49235;131670;40
49234;131780;40
49233;131730;20
49232;131720;30
49231;131720;230
49230;135327;30
49229;131620;30
49228;134946;30
49227;131540;20
49226;131920;30
49225;131750;30
49224;131680;30
49223;131620;30
49222;135838;20
49221;131740;30
